year,month,label,principal,count
2025,1,violation_gdpr_art18,bclerk_0,6
2025,1,violation_gdpr_art18,doc_0,1
2025,1,violation_gdpr_art18,doc_1,2
2025,1,violation_gdpr_art18,doc_2,3
2025,1,violation_hipaa_auth,doc_0,3
2025,1,violation_hipaa_auth,doc_1,3
2025,1,violation_hipaa_auth,doc_2,2
2025,1,violation_hipaa_auth,doc_3,2
2025,1,violation_hipaa_auth,doc_4,1
2025,1,violation_hipaa_min_necessary,bclerk_0,8
2025,2,violation_gdpr_art18,doc_0,2
2025,2,violation_gdpr_art18,doc_1,3
2025,2,violation_gdpr_art18,doc_3,1
2025,2,violation_gdpr_art18,doc_4,1
2025,2,violation_hipaa_auth,doc_0,1
2025,2,violation_hipaa_auth,doc_1,2
2025,2,violation_hipaa_auth,doc_2,4
2025,2,violation_hipaa_auth,doc_3,1
2025,2,violation_hipaa_auth,doc_4,1
2025,2,violation_hipaa_min_necessary,bclerk_0,8
2025,3,violation_gdpr_art18,bclerk_0,7
2025,3,violation_gdpr_art18,doc_0,1
2025,3,violation_gdpr_art18,doc_1,2
2025,3,violation_gdpr_art18,doc_2,1
2025,3,violation_gdpr_art18,doc_4,2
2025,3,violation_hipaa_auth,doc_0,3
2025,3,violation_hipaa_auth,doc_1,5
2025,3,violation_hipaa_auth,doc_2,3
2025,3,violation_hipaa_auth,doc_4,3
2025,3,violation_hipaa_min_necessary,bclerk_0,9
2025,4,violation_gdpr_art18,bclerk_0,6
2025,4,violation_gdpr_art18,doc_0,1
2025,4,violation_gdpr_art18,doc_1,2
2025,4,violation_gdpr_art18,doc_2,1
2025,4,violation_gdpr_art18,doc_3,2
2025,4,violation_hipaa_auth,doc_0,2
2025,4,violation_hipaa_auth,doc_1,3
2025,4,violation_hipaa_auth,doc_2,3
2025,4,violation_hipaa_auth,doc_3,1
2025,4,violation_hipaa_auth,doc_4,1
2025,4,violation_hipaa_min_necessary,bclerk_0,5
2025,5,violation_gdpr_art18,bclerk_0,7
2025,5,violation_gdpr_art18,doc_2,1
2025,5,violation_gdpr_art18,doc_3,1
2025,5,violation_hipaa_auth,doc_0,2
2025,5,violation_hipaa_auth,doc_1,1
2025,5,violation_hipaa_auth,doc_2,3
2025,5,violation_hipaa_auth,doc_3,3
2025,5,violation_hipaa_auth,doc_4,2
2025,5,violation_hipaa_min_necessary,bclerk_0,8
2025,6,violation_gdpr_art18,bclerk_0,5
2025,6,violation_gdpr_art18,doc_1,3
2025,6,violation_gdpr_art18,doc_2,1
2025,6,violation_gdpr_art18,doc_3,4
2025,6,violation_gdpr_art18,doc_4,1
2025,6,violation_hipaa_auth,doc_0,2
2025,6,violation_hipaa_auth,doc_1,1
2025,6,violation_hipaa_auth,doc_2,2
2025,6,violation_hipaa_auth,doc_3,3
2025,6,violation_hipaa_auth,doc_4,3
2025,6,violation_hipaa_min_necessary,bclerk_0,5
2025,7,violation_gdpr_art18,bclerk_0,5
2025,7,violation_gdpr_art18,doc_0,1
2025,7,violation_gdpr_art18,doc_1,1
2025,7,violation_gdpr_art18,doc_4,1
2025,7,violation_hipaa_auth,doc_0,3
2025,7,violation_hipaa_auth,doc_1,1
2025,7,violation_hipaa_auth,doc_2,3
2025,7,violation_hipaa_auth,doc_3,3
2025,7,violation_hipaa_auth,doc_4,3
2025,7,violation_hipaa_min_necessary,bclerk_0,13
2025,8,violation_gdpr_art18,bclerk_0,6
2025,8,violation_gdpr_art18,doc_0,2
2025,8,violation_gdpr_art18,doc_1,2
2025,8,violation_gdpr_art18,doc_2,2
2025,8,violation_gdpr_art18,doc_4,2
2025,8,violation_hipaa_auth,doc_0,2
2025,8,violation_hipaa_auth,doc_2,4
2025,8,violation_hipaa_auth,doc_3,1
2025,8,violation_hipaa_auth,doc_4,1
2025,8,violation_hipaa_min_necessary,bclerk_0,18
