log_id,principal,action,resource,lab_result,clinical_note,billing_info,purpose,timestamp,label
log_0,doc_3,read_phi,phi_rec_8,0,1,0,diagnosis,2025-07-25T21:34:49,benign
log_1,doc_2,read_phi,phi_rec_18,0,0,0,billing,2025-05-22T17:54:24,benign
log_2,bclerk_0,read_phi,phi_rec_16,0,0,1,billing,2025-03-10T02:07:39,benign
log_3,doc_4,read_phi,phi_rec_10,1,0,0,research,2025-05-21T11:35:23,benign
log_4,doc_1,read_phi,phi_rec_11,1,1,0,research,2025-08-08T00:22:14,benign
log_5,doc_3,read_phi,phi_rec_0,1,1,0,diagnosis,2025-07-14T15:16:13,benign
log_6,bclerk_1,read_phi,phi_rec_9,0,0,1,billing,2025-04-05T07:28:30,benign
log_7,doc_2,read_phi,phi_rec_14,0,0,0,marketing,2025-06-29T19:37:20,benign
log_8,doc_0,read_phi,phi_rec_9,0,1,0,diagnosis,2025-06-21T01:00:36,violation_hipaa_auth
log_9,doc_4,read_phi,phi_rec_12,0,0,0,billing,2025-04-14T19:19:07,benign
log_10,doc_2,read_phi,phi_rec_3,0,0,0,marketing,2025-05-19T05:15:33,benign
log_11,bclerk_0,read_phi,phi_rec_19,0,1,0,billing,2025-05-09T16:42:37,violation_hipaa_min_necessary
log_12,bclerk_0,read_phi,phi_rec_8,0,0,1,billing,2025-01-31T12:28:35,benign
log_13,doc_1,read_phi,phi_rec_15,0,0,0,billing,2025-04-01T14:30:12,benign
log_14,doc_4,read_phi,phi_rec_17,1,1,0,diagnosis,2025-05-28T03:32:12,benign
log_15,doc_0,read_phi,phi_rec_16,0,0,0,billing,2025-01-08T12:40:22,benign
log_16,doc_1,read_phi,phi_rec_7,0,1,0,billing,2025-05-18T23:17:46,violation_hipaa_auth
log_17,doc_3,read_phi,phi_rec_6,0,0,0,billing,2025-02-06T10:28:38,benign
log_18,doc_3,read_phi,phi_rec_1,1,1,0,diagnosis,2025-02-09T04:09:20,benign
log_19,doc_3,read_phi,phi_rec_5,0,0,0,billing,2025-04-08T22:07:45,benign
log_20,doc_4,read_phi,phi_rec_17,1,1,0,diagnosis,2025-07-01T23:45:34,benign
log_21,doc_2,read_phi,phi_rec_14,0,0,0,billing,2025-02-17T05:55:50,benign
log_22,doc_0,read_phi,phi_rec_2,0,0,0,billing,2025-02-22T23:26:07,benign
log_23,doc_3,read_phi,phi_rec_5,0,0,0,billing,2025-03-22T05:22:04,benign
log_24,doc_1,read_phi,phi_rec_13,0,0,0,marketing,2025-03-23T15:36:23,benign
log_25,doc_3,read_phi,phi_rec_0,1,1,0,diagnosis,2025-06-29T09:48:05,benign
log_26,bclerk_0,read_phi,phi_rec_10,0,0,1,billing,2025-04-14T00:09:35,benign
log_27,doc_2,read_phi,phi_rec_18,1,1,0,diagnosis,2025-04-20T17:02:01,benign
log_28,bclerk_1,read_phi,phi_rec_2,0,0,1,billing,2025-02-02T07:04:59,benign
log_29,doc_4,read_phi,phi_rec_17,1,1,0,research,2025-02-09T20:51:11,benign
log_30,doc_2,read_phi,phi_rec_18,1,1,0,diagnosis,2025-07-25T12:55:52,benign
log_31,bclerk_0,read_phi,phi_rec_13,1,0,0,billing,2025-06-11T20:19:46,violation_hipaa_min_necessary
log_32,bclerk_0,read_phi,phi_rec_19,0,0,1,billing,2025-08-12T00:52:58,benign
log_33,doc_4,read_phi,phi_rec_17,1,1,0,research,2025-01-25T00:04:52,benign
log_34,doc_4,read_phi,phi_rec_19,0,0,0,billing,2025-06-08T12:28:41,benign
log_35,doc_3,read_phi,phi_rec_8,0,0,0,billing,2025-08-10T18:12:38,benign
log_36,doc_4,read_phi,phi_rec_12,0,1,0,diagnosis,2025-01-03T04:06:13,benign
log_37,bclerk_1,read_phi,phi_rec_11,0,0,1,billing,2025-03-18T18:48:11,benign
log_38,bclerk_0,read_phi,phi_rec_11,0,0,1,billing,2025-07-26T07:55:51,benign
log_39,doc_4,read_phi,phi_rec_12,1,0,0,diagnosis,2025-07-12T18:25:43,benign
log_40,bclerk_1,read_phi,phi_rec_19,0,0,1,billing,2025-01-16T15:09:30,benign
log_41,bclerk_0,read_phi,phi_rec_18,0,0,1,billing,2025-02-12T22:35:18,benign
log_42,doc_1,read_phi,phi_rec_13,0,0,0,billing,2025-03-10T21:40:14,benign
log_43,doc_1,read_phi,phi_rec_15,1,1,0,diagnosis,2025-01-29T03:53:24,benign
log_44,doc_2,read_phi,phi_rec_7,0,0,0,marketing,2025-04-24T17:57:08,benign
log_45,doc_3,read_phi,phi_rec_1,0,0,0,billing,2025-08-18T18:32:54,benign
log_46,doc_0,read_phi,phi_rec_2,1,1,0,diagnosis,2025-01-16T01:17:04,benign
log_47,doc_4,read_phi,phi_rec_12,0,0,0,billing,2025-06-25T18:07:28,benign
log_48,doc_3,read_phi,phi_rec_6,0,0,0,marketing,2025-01-11T10:37:12,benign
log_49,doc_4,read_phi,phi_rec_12,1,1,0,research,2025-08-10T14:19:11,benign
log_50,doc_3,read_phi,phi_rec_1,1,1,0,diagnosis,2025-06-29T07:52:55,benign
log_51,doc_4,read_phi,phi_rec_12,0,0,0,billing,2025-06-26T12:34:51,benign
log_52,doc_3,read_phi,phi_rec_6,0,0,0,marketing,2025-04-17T10:06:31,benign
log_53,doc_4,read_phi,phi_rec_17,0,0,0,marketing,2025-01-26T07:18:30,benign
log_54,doc_4,read_phi,phi_rec_12,1,1,0,research,2025-04-01T21:50:03,benign
log_55,doc_3,read_phi,phi_rec_0,1,1,0,diagnosis,2025-07-17T11:59:13,benign
log_56,doc_1,read_phi,phi_rec_15,1,1,0,diagnosis,2025-08-03T13:37:31,benign
log_57,doc_1,read_phi,phi_rec_11,0,0,0,marketing,2025-07-30T00:16:51,benign
log_58,doc_2,read_phi,phi_rec_9,0,0,0,diagnosis,2025-08-07T02:48:00,benign
log_59,doc_4,read_phi,phi_rec_12,0,0,0,billing,2025-07-01T03:18:02,benign
log_60,doc_1,read_phi,phi_rec_13,1,0,0,diagnosis,2025-06-05T19:15:56,benign
log_61,doc_2,read_phi,phi_rec_19,0,1,0,diagnosis,2025-04-12T08:49:32,violation_hipaa_auth
log_62,doc_3,read_phi,phi_rec_8,0,1,0,diagnosis,2025-02-21T12:53:12,benign
log_63,doc_3,read_phi,phi_rec_6,0,0,0,billing,2025-04-12T10:08:47,benign
log_64,doc_4,read_phi,phi_rec_4,0,0,0,billing,2025-04-22T21:24:44,benign
