log_id,principal,action,resource,lab_result,clinical_note,billing_info,purpose,timestamp,label
log_0,bclerk_5,read_phi,phi_rec_886,0,1,0,billing,2025-05-06T00:21:19,violation_hipaa_min_necessary
log_1,bclerk_13,read_phi,phi_rec_783,0,0,1,billing,2025-01-30T06:02:21,benign
log_2,doc_29,read_phi,phi_rec_319,0,0,0,marketing,2025-02-03T21:32:03,benign
log_3,bclerk_10,read_phi,phi_rec_847,1,0,0,billing,2025-02-14T18:23:31,violation_hipaa_min_necessary
log_4,doc_19,read_phi,phi_rec_986,1,1,0,research,2025-03-25T23:45:17,benign
log_5,doc_16,read_phi,phi_rec_103,0,0,0,billing,2025-02-05T16:51:10,benign
log_6,doc_47,read_phi,phi_rec_1351,0,0,0,billing,2025-07-22T23:19:17,benign
log_7,bclerk_12,read_phi,phi_rec_1566,0,0,1,billing,2025-02-13T05:46:45,benign
log_8,doc_4,read_phi,phi_rec_1658,0,0,0,marketing,2025-06-26T00:54:17,benign
log_9,doc_7,read_phi,phi_rec_1496,1,1,0,research,2025-04-22T00:43:36,benign
log_10,doc_10,read_phi,phi_rec_224,0,0,0,marketing,2025-06-22T13:10:22,benign
log_11,doc_21,read_phi,phi_rec_1534,1,1,0,research,2025-04-02T06:04:54,benign
log_12,bclerk_4,read_phi,phi_rec_91,0,0,1,billing,2025-04-22T18:25:42,benign
log_13,bclerk_12,read_phi,phi_rec_1414,0,0,1,billing,2025-02-17T17:41:45,benign
log_14,doc_21,read_phi,phi_rec_1905,1,1,0,diagnosis,2025-07-21T23:14:47,benign
log_15,doc_28,read_phi,phi_rec_928,1,1,0,diagnosis,2025-03-07T15:47:27,benign
log_16,bclerk_5,read_phi,phi_rec_199,0,0,1,billing,2025-02-22T06:31:06,benign
log_17,doc_11,read_phi,phi_rec_812,0,0,0,billing,2025-03-17T08:10:17,benign
log_18,bclerk_6,read_phi,phi_rec_836,0,0,1,billing,2025-01-11T08:51:13,benign
log_19,doc_9,read_phi,phi_rec_1051,1,1,0,diagnosis,2025-02-02T01:07:15,benign
log_20,bclerk_2,read_phi,phi_rec_914,0,0,1,billing,2025-05-09T14:26:57,benign
log_21,doc_28,read_phi,phi_rec_1392,1,1,0,research,2025-02-27T19:54:20,benign
log_22,doc_0,read_phi,phi_rec_1381,1,1,0,research,2025-05-04T06:16:41,benign
log_23,doc_36,read_phi,phi_rec_1961,0,0,0,billing,2025-08-16T22:36:38,benign
log_24,doc_10,read_phi,phi_rec_949,0,0,0,billing,2025-05-05T21:38:04,benign
log_25,doc_39,read_phi,phi_rec_654,1,1,0,diagnosis,2025-08-18T22:21:43,benign
log_26,doc_25,read_phi,phi_rec_1004,0,1,0,diagnosis,2025-04-28T11:28:00,violation_hipaa_auth
log_27,doc_22,read_phi,phi_rec_878,0,0,0,billing,2025-04-15T13:10:32,benign
log_28,doc_43,read_phi,phi_rec_1972,1,0,0,research,2025-06-25T10:28:03,benign
log_29,doc_48,read_phi,phi_rec_499,0,0,0,billing,2025-08-09T03:38:30,benign
