log_id,principal,action,resource,lab_result,clinical_note,billing_info,request_timestamp,process_timestamp,label
req_ben_64854,pat_4,request_deactivation,phi_rec_4,0,0,0,2025-08-22T00:00:00,2025-08-27T00:00:00,benign
req_ben_38107,pat_1376,request_access,phi_rec_1376,1,1,1,2025-08-26T00:00:00,2025-09-02T00:00:00,benign
req_ben_82886,pat_591,request_deactivation,phi_rec_591,0,0,0,2025-08-20T00:00:00,2025-08-25T00:00:00,benign
req_ben_47101,pat_515,request_access,phi_rec_515,1,1,1,2025-08-20T00:00:00,2025-09-09T00:00:00,benign
req_ben_31585,pat_740,request_access,phi_rec_740,1,1,0,2025-08-11T00:00:00,2025-08-31T00:00:00,benign
req_ben_57739,pat_1031,request_access,phi_rec_1031,0,0,1,2025-08-16T00:00:00,2025-08-19T00:00:00,benign
req_ben_40969,pat_1524,request_access,phi_rec_1524,1,1,1,2025-08-10T00:00:00,2025-08-14T00:00:00,benign
req_ben_69980,pat_443,request_deactivation,phi_rec_443,0,0,0,2025-08-16T00:00:00,2025-08-21T00:00:00,benign
req_ben_51972,pat_1145,request_access,phi_rec_1145,1,1,1,2025-08-25T00:00:00,2025-08-27T00:00:00,benign
req_ben_43927,pat_372,request_access,phi_rec_372,0,1,1,2025-08-30T00:00:00,2025-09-22T00:00:00,benign
req_ben_19949,pat_495,request_deactivation,phi_rec_495,0,0,0,2025-08-27T00:00:00,2025-08-30T00:00:00,benign
req_vio_3914,pat_102,request_access,phi_rec_102,1,1,1,2025-07-01T00:00:00,,violation_gdpr_art15
req_ben_74688,pat_343,request_access,phi_rec_343,1,0,0,2025-08-05T00:00:00,2025-08-19T00:00:00,benign
req_ben_19017,pat_558,request_access,phi_rec_558,0,0,1,2025-08-21T00:00:00,2025-08-24T00:00:00,benign
req_ben_36748,pat_1448,request_deactivation,phi_rec_1448,0,0,0,2025-08-05T00:00:00,2025-08-27T00:00:00,benign
req_ben_30923,pat_676,request_deactivation,phi_rec_676,0,0,0,2025-08-18T00:00:00,2025-09-08T00:00:00,benign
req_ben_47310,pat_1938,request_deactivation,phi_rec_1938,0,0,0,2025-08-15T00:00:00,2025-09-09T00:00:00,benign
req_ben_89602,pat_1228,request_deactivation,phi_rec_1228,0,0,0,2025-08-03T00:00:00,2025-08-09T00:00:00,benign
