log_id,principal,action,resource,lab_result,clinical_note,billing_info,purpose,timestamp,label
log_0,doc_37,read_phi,phi_rec_267,1,1,0,research,2025-04-25T07:03:01,benign
log_1,doc_36,read_phi,phi_rec_291,0,0,0,marketing,2025-02-17T12:02:37,benign
log_2,bclerk_4,read_phi,phi_rec_1115,0,0,1,billing,2025-02-18T03:05:58,benign
log_3,bclerk_4,read_phi,phi_rec_832,0,0,1,billing,2025-06-11T11:41:16,benign
log_4,doc_45,read_phi,phi_rec_1411,0,0,0,billing,2025-04-22T22:51:49,benign
log_5,bclerk_14,read_phi,phi_rec_107,0,0,1,billing,2025-07-21T08:40:48,benign
log_6,doc_43,read_phi,phi_rec_265,0,0,0,marketing,2025-03-30T12:02:54,benign
log_7,doc_11,read_phi,phi_rec_1857,1,0,0,research,2025-04-28T20:05:48,benign
log_8,doc_23,read_phi,phi_rec_814,0,1,0,diagnosis,2025-02-21T06:37:31,benign
log_9,bclerk_0,read_phi,phi_rec_562,0,1,0,billing,2025-07-25T18:08:35,violation_hipaa_min_necessary
log_10,doc_18,read_phi,phi_rec_1344,0,0,0,billing,2025-04-01T20:48:54,benign
log_11,doc_0,read_phi,phi_rec_1708,0,1,0,research,2025-03-09T13:52:32,benign
log_12,doc_38,read_phi,phi_rec_586,1,1,0,diagnosis,2025-05-16T21:44:11,benign
log_13,doc_7,read_phi,phi_rec_229,0,0,0,marketing,2025-07-10T23:12:26,benign
log_14,doc_13,read_phi,phi_rec_1058,0,0,0,marketing,2025-03-20T17:29:08,benign
log_15,doc_43,read_phi,phi_rec_935,1,0,0,research,2025-03-18T22:17:59,benign
log_16,bclerk_11,read_phi,phi_rec_1714,0,0,1,billing,2025-03-22T17:52:36,benign
log_17,doc_21,read_phi,phi_rec_152,0,1,0,research,2025-03-02T17:10:56,benign
log_18,bclerk_0,read_phi,phi_rec_59,0,0,1,billing,2025-07-30T22:43:37,benign
log_19,doc_23,read_phi,phi_rec_1615,0,0,0,marketing,2025-03-07T19:55:30,benign
log_20,doc_7,read_phi,phi_rec_1186,0,0,0,billing,2025-06-18T23:50:28,benign
log_21,doc_32,read_phi,phi_rec_5,1,1,0,diagnosis,2025-03-08T23:39:41,benign
log_22,doc_44,read_phi,phi_rec_113,0,0,0,billing,2025-02-15T19:49:49,benign
log_23,doc_31,read_phi,phi_rec_1314,1,1,0,diagnosis,2025-07-16T13:10:56,benign
log_24,doc_37,read_phi,phi_rec_1526,1,0,0,research,2025-01-02T14:59:13,benign
log_25,doc_5,read_phi,phi_rec_252,0,1,0,research,2025-03-05T11:04:00,benign
log_26,doc_43,read_phi,phi_rec_526,1,1,0,diagnosis,2025-04-24T03:01:48,benign
log_27,doc_13,read_phi,phi_rec_509,1,1,0,diagnosis,2025-05-08T16:11:21,benign
log_28,doc_2,read_phi,phi_rec_1348,0,0,0,marketing,2025-06-11T07:04:29,benign
log_29,doc_1,read_phi,phi_rec_496,0,0,0,billing,2025-02-04T04:11:16,benign
log_30,doc_29,read_phi,phi_rec_1224,0,0,0,billing,2025-08-17T19:06:45,benign
log_31,bclerk_0,read_phi,phi_rec_338,0,0,1,marketing,2025-08-15T08:44:41,violation_gdpr_art18
log_32,doc_35,read_phi,phi_rec_1133,1,0,0,research,2025-03-17T09:00:05,benign
log_33,doc_3,read_phi,phi_rec_717,0,1,0,diagnosis,2025-08-17T13:02:28,violation_hipaa_auth
log_34,bclerk_10,read_phi,phi_rec_1190,0,0,1,billing,2025-03-15T20:44:58,benign
log_35,doc_3,read_phi,phi_rec_1346,1,1,0,research,2025-07-27T01:33:39,benign
log_36,doc_6,read_phi,phi_rec_1988,0,1,0,diagnosis,2025-04-07T23:41:04,benign
log_37,doc_14,read_phi,phi_rec_1206,0,0,0,marketing,2025-07-30T18:16:00,benign
log_38,doc_14,read_phi,phi_rec_910,1,1,0,research,2025-02-05T15:16:27,benign
log_39,doc_40,read_phi,phi_rec_880,0,0,0,marketing,2025-07-03T04:40:16,benign
log_40,doc_15,read_phi,phi_rec_1640,0,0,0,marketing,2025-07-29T15:33:45,benign
log_41,doc_36,read_phi,phi_rec_707,0,0,0,billing,2025-06-21T18:51:27,benign
log_42,doc_28,read_phi,phi_rec_1001,0,0,0,marketing,2025-06-16T14:20:47,benign
log_43,bclerk_3,read_phi,phi_rec_1500,0,0,1,billing,2025-01-27T09:33:54,benign
log_44,doc_26,read_phi,phi_rec_731,0,0,0,diagnosis,2025-07-25T14:27:42,benign
log_45,doc_28,read_phi,phi_rec_1813,1,1,0,diagnosis,2025-01-19T01:14:37,benign
log_46,doc_42,read_phi,phi_rec_1563,0,0,0,billing,2025-04-05T01:06:57,benign
