log_id,principal,action,resource,lab_result,clinical_note,billing_info,request_timestamp,process_timestamp,label
req_ben_2675,pat_1454,request_access,phi_rec_1454,1,1,1,2025-08-05T00:00:00,2025-08-27T00:00:00,benign
req_ben_6008,pat_1012,request_access,phi_rec_1012,1,1,1,2025-08-07T00:00:00,2025-08-27T00:00:00,benign
req_ben_3578,pat_742,request_access,phi_rec_742,1,1,1,2025-08-05T00:00:00,2025-08-16T00:00:00,benign
req_ben_2348,pat_336,request_deactivation,phi_rec_336,0,0,0,2025-08-18T00:00:00,2025-09-03T00:00:00,benign
req_ben_9272,pat_1766,request_deactivation,phi_rec_1766,0,0,0,2025-08-10T00:00:00,2025-08-31T00:00:00,benign
req_ben_1693,pat_706,request_deactivation,phi_rec_706,0,0,0,2025-08-13T00:00:00,2025-08-23T00:00:00,benign
req_ben_453,pat_1886,request_access,phi_rec_1886,0,1,1,2025-08-12T00:00:00,2025-08-15T00:00:00,benign
req_ben_8539,pat_17,request_access,phi_rec_17,1,1,0,2025-08-25T00:00:00,2025-09-14T00:00:00,benign
req_ben_3553,pat_1898,request_deactivation,phi_rec_1898,0,0,0,2025-08-24T00:00:00,2025-08-25T00:00:00,benign
req_ben_8707,pat_1551,request_access,phi_rec_1551,1,1,1,2025-08-15T00:00:00,2025-08-25T00:00:00,benign
req_ben_4362,pat_277,request_deactivation,phi_rec_277,0,0,0,2025-08-20T00:00:00,2025-09-06T00:00:00,benign
req_ben_9316,pat_450,request_access,phi_rec_450,0,1,0,2025-08-08T00:00:00,2025-08-22T00:00:00,benign
req_ben_8107,pat_1708,request_access,phi_rec_1708,1,0,1,2025-08-17T00:00:00,2025-08-26T00:00:00,benign
req_ben_6411,pat_1742,request_access,phi_rec_1742,1,1,1,2025-08-23T00:00:00,2025-09-03T00:00:00,benign
req_ben_7502,pat_656,request_access,phi_rec_656,1,1,0,2025-08-04T00:00:00,2025-08-06T00:00:00,benign
req_vio_372,pat_585,request_access,phi_rec_585,0,1,0,2025-05-07T00:00:00,,violation_gdpr_art15
req_ben_2799,pat_818,request_deactivation,phi_rec_818,0,0,0,2025-08-06T00:00:00,2025-08-11T00:00:00,benign
req_ben_526,pat_1110,request_access,phi_rec_1110,1,0,1,2025-08-05T00:00:00,2025-08-25T00:00:00,benign
req_ben_3336,pat_1590,request_deactivation,phi_rec_1590,0,0,0,2025-08-27T00:00:00,2025-09-16T00:00:00,benign
req_ben_1003,pat_1224,request_access,phi_rec_1224,0,1,0,2025-08-28T00:00:00,2025-09-17T00:00:00,benign
req_ben_1645,pat_1421,request_deactivation,phi_rec_1421,0,0,0,2025-08-26T00:00:00,2025-09-09T00:00:00,benign
req_ben_6018,pat_822,request_deactivation,phi_rec_822,0,0,0,2025-08-28T00:00:00,2025-08-31T00:00:00,benign
req_ben_3000,pat_1407,request_access,phi_rec_1407,1,1,1,2025-08-12T00:00:00,2025-08-29T00:00:00,benign
req_ben_1141,pat_1993,request_access,phi_rec_1993,1,1,1,2025-08-19T00:00:00,2025-08-20T00:00:00,benign
req_ben_9077,pat_831,request_access,phi_rec_831,0,1,0,2025-08-20T00:00:00,2025-09-02T00:00:00,benign
req_ben_8519,pat_428,request_access,phi_rec_428,1,0,0,2025-08-26T00:00:00,2025-08-27T00:00:00,benign
req_ben_4793,pat_1307,request_deactivation,phi_rec_1307,0,0,0,2025-08-23T00:00:00,2025-09-06T00:00:00,benign
req_vio_157,pat_1929,request_deactivation,phi_rec_1929,0,0,0,2025-04-14T00:00:00,,violation_gdpr_art17
req_ben_2144,pat_1624,request_access,phi_rec_1624,1,0,1,2025-08-24T00:00:00,2025-09-10T00:00:00,benign
req_ben_2738,pat_821,request_access,phi_rec_821,1,1,0,2025-08-28T00:00:00,2025-09-13T00:00:00,benign
req_ben_7101,pat_423,request_access,phi_rec_423,0,1,1,2025-08-22T00:00:00,2025-09-08T00:00:00,benign
req_ben_9051,pat_1306,request_access,phi_rec_1306,0,1,0,2025-08-04T00:00:00,2025-08-14T00:00:00,benign
req_vio_153,pat_1003,request_deactivation,phi_rec_1003,0,0,0,2025-06-24T00:00:00,,violation_gdpr_art17
req_ben_749,pat_50,request_access,phi_rec_50,1,1,1,2025-08-08T00:00:00,2025-08-16T00:00:00,benign
req_ben_2074,pat_1282,request_deactivation,phi_rec_1282,0,0,0,2025-08-23T00:00:00,2025-08-25T00:00:00,benign
req_ben_4993,pat_1894,request_access,phi_rec_1894,1,1,1,2025-08-03T00:00:00,2025-08-25T00:00:00,benign
req_ben_1179,pat_23,request_deactivation,phi_rec_23,0,0,0,2025-08-22T00:00:00,2025-09-07T00:00:00,benign
req_ben_1253,pat_66,request_access,phi_rec_66,1,0,1,2025-08-09T00:00:00,2025-08-11T00:00:00,benign
req_vio_248,pat_327,request_access,phi_rec_327,1,1,0,2025-04-02T00:00:00,,violation_gdpr_art15
req_ben_3994,pat_378,request_deactivation,phi_rec_378,0,0,0,2025-08-14T00:00:00,2025-09-03T00:00:00,benign
req_ben_5805,pat_1836,request_access,phi_rec_1836,1,1,1,2025-08-03T00:00:00,2025-08-08T00:00:00,benign
req_ben_3573,pat_1816,request_access,phi_rec_1816,1,1,0,2025-08-19T00:00:00,2025-09-07T00:00:00,benign
req_ben_2156,pat_1048,request_deactivation,phi_rec_1048,0,0,0,2025-08-26T00:00:00,2025-09-16T00:00:00,benign
req_ben_3099,pat_672,request_deactivation,phi_rec_672,0,0,0,2025-08-16T00:00:00,2025-09-06T00:00:00,benign
req_ben_6612,pat_1208,request_access,phi_rec_1208,0,1,1,2025-08-28T00:00:00,2025-09-12T00:00:00,benign
req_ben_6853,pat_1701,request_access,phi_rec_1701,1,0,0,2025-08-23T00:00:00,2025-09-13T00:00:00,benign
req_vio_202,pat_158,request_access,phi_rec_158,0,0,1,2025-03-22T00:00:00,,violation_gdpr_art15
req_ben_4280,pat_1778,request_access,phi_rec_1778,1,1,1,2025-08-15T00:00:00,2025-09-03T00:00:00,benign
req_ben_7520,pat_1121,request_access,phi_rec_1121,1,0,1,2025-08-14T00:00:00,2025-09-07T00:00:00,benign
req_ben_51,pat_1692,request_access,phi_rec_1692,1,1,1,2025-08-23T00:00:00,2025-09-06T00:00:00,benign
req_vio_65,pat_199,request_deactivation,phi_rec_199,0,0,0,2025-06-13T00:00:00,,violation_gdpr_art17
req_ben_4433,pat_478,request_access,phi_rec_478,0,0,1,2025-08-30T00:00:00,2025-09-08T00:00:00,benign
req_ben_1002,pat_337,request_deactivation,phi_rec_337,0,0,0,2025-08-15T00:00:00,2025-08-22T00:00:00,benign
req_ben_2093,pat_1015,request_deactivation,phi_rec_1015,0,0,0,2025-08-14T00:00:00,2025-09-04T00:00:00,benign
req_ben_8444,pat_559,request_access,phi_rec_559,1,1,0,2025-08-29T00:00:00,2025-09-01T00:00:00,benign
req_ben_6675,pat_301,request_access,phi_rec_301,1,1,1,2025-08-13T00:00:00,2025-09-02T00:00:00,benign
req_ben_3238,pat_252,request_access,phi_rec_252,1,1,1,2025-08-03T00:00:00,2025-08-13T00:00:00,benign
req_ben_6660,pat_427,request_access,phi_rec_427,1,0,0,2025-08-16T00:00:00,2025-08-29T00:00:00,benign
req_ben_3016,pat_1862,request_access,phi_rec_1862,0,1,0,2025-08-15T00:00:00,2025-09-03T00:00:00,benign
req_ben_5528,pat_810,request_access,phi_rec_810,1,0,0,2025-08-17T00:00:00,2025-09-08T00:00:00,benign
req_ben_7304,pat_520,request_access,phi_rec_520,0,0,1,2025-08-06T00:00:00,2025-08-26T00:00:00,benign
req_ben_4330,pat_507,request_deactivation,phi_rec_507,0,0,0,2025-08-21T00:00:00,2025-08-26T00:00:00,benign
