log_id,principal,action,resource,lab_result,clinical_note,billing_info,request_timestamp,process_timestamp,label
req_vio_60,pat_170,request_access,phi_rec_170,1,1,0,2025-03-17T00:00:00,,violation_gdpr_art15
req_ben_1286,pat_113,request_deactivation,phi_rec_113,0,0,0,2025-08-19T00:00:00,2025-09-04T00:00:00,benign
req_ben_1309,pat_192,request_deactivation,phi_rec_192,0,0,0,2025-08-03T00:00:00,2025-08-06T00:00:00,benign
req_ben_3508,pat_1,request_access,phi_rec_1,1,1,0,2025-08-04T00:00:00,2025-08-23T00:00:00,benign
req_ben_4710,pat_57,request_access,phi_rec_57,1,1,1,2025-08-21T00:00:00,2025-08-29T00:00:00,benign
req_ben_870,pat_35,request_access,phi_rec_35,1,1,1,2025-08-26T00:00:00,2025-08-27T00:00:00,benign
req_ben_1060,pat_154,request_access,phi_rec_154,1,1,0,2025-08-03T00:00:00,2025-08-09T00:00:00,benign
req_ben_259,pat_2,request_access,phi_rec_2,1,1,1,2025-08-02T00:00:00,2025-08-24T00:00:00,benign
req_ben_3107,pat_92,request_access,phi_rec_92,0,1,1,2025-08-05T00:00:00,2025-08-11T00:00:00,benign
req_ben_1124,pat_86,request_access,phi_rec_86,1,1,1,2025-08-15T00:00:00,2025-08-18T00:00:00,benign
req_ben_4391,pat_52,request_access,phi_rec_52,1,1,1,2025-08-22T00:00:00,2025-09-09T00:00:00,benign
req_ben_2623,pat_135,request_access,phi_rec_135,0,0,1,2025-08-20T00:00:00,2025-08-21T00:00:00,benign
req_ben_815,pat_188,request_access,phi_rec_188,0,0,1,2025-08-26T00:00:00,2025-09-02T00:00:00,benign
req_ben_509,pat_17,request_access,phi_rec_17,0,1,0,2025-08-29T00:00:00,2025-08-30T00:00:00,benign
req_ben_3030,pat_181,request_access,phi_rec_181,0,1,0,2025-08-09T00:00:00,2025-08-18T00:00:00,benign
req_ben_881,pat_11,request_access,phi_rec_11,0,1,1,2025-08-02T00:00:00,2025-08-13T00:00:00,benign
req_ben_3405,pat_108,request_access,phi_rec_108,1,1,0,2025-08-25T00:00:00,2025-09-10T00:00:00,benign
req_ben_3790,pat_124,request_deactivation,phi_rec_124,0,0,0,2025-08-11T00:00:00,2025-08-17T00:00:00,benign
req_ben_4447,pat_60,request_deactivation,phi_rec_60,0,0,0,2025-08-05T00:00:00,2025-08-26T00:00:00,benign
req_ben_2505,pat_193,request_access,phi_rec_193,1,1,1,2025-08-15T00:00:00,2025-08-20T00:00:00,benign
req_ben_1196,pat_26,request_access,phi_rec_26,0,1,1,2025-08-12T00:00:00,2025-08-21T00:00:00,benign
req_ben_4176,pat_123,request_access,phi_rec_123,1,1,1,2025-08-02T00:00:00,2025-08-20T00:00:00,benign
req_ben_4683,pat_191,request_access,phi_rec_191,0,1,0,2025-08-10T00:00:00,2025-08-27T00:00:00,benign
req_vio_72,pat_8,request_access,phi_rec_8,1,1,1,2025-04-24T00:00:00,,violation_gdpr_art15
req_ben_1750,pat_32,request_access,phi_rec_32,0,1,1,2025-08-27T00:00:00,2025-08-28T00:00:00,benign
req_ben_4637,pat_126,request_access,phi_rec_126,1,0,0,2025-08-08T00:00:00,2025-08-27T00:00:00,benign
req_ben_1529,pat_146,request_access,phi_rec_146,1,0,1,2025-08-03T00:00:00,2025-08-19T00:00:00,benign
